@relation movies
@attribute att_avis STRING
@attribute att_thought {-1,1}
@data
'iwasverydispleasedwiththismoveeverythingwasterriblefromthestartthecomedywasunhumoroustheactionoverdonethesongsunmelodiouseventhestorylinewasweightlessfromawriterwhohaswrittensuccessfulscriptslikeguruanddhoomihadhighexpectationstheactorsworkedwaytoohardanddidnothelpthefilmatallofcoursekareenarockedthescreeninabikinibutfortwosecondsithinkhindistuntdirectorsshouldresearchhowactionmoviesaredonetheytendtoexaggeratewaytoomuchinchinesefilmsthisstyleworksbecausethatistheirsignaturepiecebuthindicinemassignaturearethesongsagoodactionmovieshouldlastnomorethantwohoursandcannotlookunrealisticbutinthefutureimsuretheseactionmovieswillgetmuchsharperalsotobenotedcomedyandactionfilmsdonotmixunlessdoneproperlygoodlucknexttime',-1

'ifthereisonefilmwhichistheworstofthisyearitstashanthefirstpromogaveanindicationthatthefilmwillbeaboringdhoomstylefilmandwelliknewfirstonlyitwouldbeabadfilmwhateveritmaybebecauseofitbeingayashrajfilmormaybeseeingthecheesypromobutthisfilmgavemeashockitwasevenworstthendhoomandwhatiexpectedfirstsaifsintroductionwhichisboringthensaifkareenameetkareenaissoartificialandthenanilkapoorohgodwhatheisdoinginsuchaweirdfilmwhatkindaroleitiswhatactingishedoinghisfirstsceneisalrightbutthenhisactgetsrepetitiveandheoveractsthencameakshaywhoprovidedsomenicescenesbutthenthefilmbecamemoreboringandwithalltheoutdatedstuffchildhoodromanceoverdoseofchildishrajnikantstyleactionscenesandallboringscenestheendingisanotherjokevijaykrishnaacharyawouldhavegotfilmsmoretodirectifthisfilmhadworkedthatsthestrategyofyashrajonlymoneynothingelsesovijayisanotheradditiontotheirlistofcrapfilmmakersmusicvishalshekharisordinaryperformancesakshaykumarcomesinthefilmasawhiffoffreshairheactuallyprovidessomeengagingmomentssaifalikhanisirritatingkareenaisequallybadanilkapoorhamsoutrageouslyandspoilstheshowevenmorerestareokay',-1

'absolutelyawfulmovieutterwasteoftimebackgroundmusicissoloudthatyoucannotunderstandspeechwellifyoureallylistencloselywhatevertheyspeakisactuallyunintelligiblecameraworkisbadeditingisnotpresentbackgroundscoregivesaheadacheactionisshoddydialogsareunintelligibleactingisabysmalandwellkareenausedtolooklikeawrestlernowshelookslikeastarvedwrestlerhellyoucanslimdownbutyoucannotgaingraceafterspendingthreehourswatchingamovieiwanttolikeitbutthismoviewouldnotevenallowmethatpleasurepleaseifyouwanttotortureyourselfgoaheadwatchthis',-1

'sometimeifailtounderstandwhatdothedirectorsthinkwhentheymakeamovieihadhadatraumaafterwatchingwelcomeandthoughtthattheywontdoitagainbutafterloadsofamazingpromostashanfinallyendedasheartattacksuchamazingsongsinpromodilhaarachhaliyaandtashanmeinandwhatugetinthemoviezerostorypredictableplotplentyofakshaykumarstuntsandnothinginterestingapartfromwatchingkareenaafterhermajorweightlossmusicwiseanothermajordisasterinthemusicalbumtheyhavespenttimeongivingpatheticsmalldialogsofthesejokersandtheyhaventthoughtofgivingthebackgroundsongofthesceneswhenakshaykumarisdoingstuntsthatsongissuchnicequitecomparabletotashanmeinandthatisnottakeninthemusicalbumifyouplantowatchthismovieiwouldsaywatchittolistentothatbackgroundsongwhichgoessomethinglikebachchanbachchanpandeyoverallverydisappointedevenwiththewaybhaiyyajihasmadeattempttospeakbadenglishgoawaymanineedtopuke',-1

'ihadneverthoughtthestandardofyashrajfilmswouldeverdegradetosuchanextentthefilmhasanonsensestorylinewhichcatchesnointerestsaifhasoveractedkareenahasimprovedherfigurebutisnotagoodactressanywayakshayisgoodanilisalsogoodmayisaytherolewasntgoodgreatdealofcheapnessisfilledinwonderedifthatwassupposedtobethecomedypartofthemoviejustbecauselastfewmovieswereflopsdoesthatmeanyashrajfilmsshouldmakethiskindofrubbishithasahistoryofsomanygoodfilmsoveralliwastotallydisappointedwiththemovie',-1

'thismovieishorribletheactingisawastebasketnocryingnoactionhopelesssongsthoughthesceneryisgreatihavealwayswantedtogotogreeceanywayasforsaifyoudexpectagreatperformancebutevenheletdownthepeopleakshaykumarrecognizedasthepimpofbollywoodandthevoiceofsinghshewassensationalinthismovieforonlythisperformancefilmfareshouldintroduceanotherawardthetoiletriesawardfortheworstperformancebythewaythetrophyshouldbeatoiletseatkareenakapoorshefirstofallisnotcomparabletohersisterkarismainactinginlooksorinbodyshenowwantstoprovetoherselfthatshesurpasseshershecomesintothismoviewearingbikinisandtanktopsandshortshortsireallywonderwhysaifalikhanislettinghiswifetobedresslikethatbutshemustveimpressedsomepeopledressinglikethatandifyouaskhowthenconsidereverymanishavinganerectionwatchingthismovietheyaredreamingofhavingkareenakapoorinbednakedwithacondomincludingmepersonallyithinkthatshedressedlikeawhorebutireallylikeditiamforcedtogiveitabutidreallygivethismovieaanunachievedfilm',-1

'forthismoviedefinesanewlowinbollywoodandhassetthestandardagainstwhichallcpmustnowbecomparedfirstoffthebeginningdidhaveelementsofstyleandifhandledwellcouldhavebecomeacultclassicalapulpfictionoradesidesperadobuttheplotwasthereonebeginstomeanderandatonepointcompletelylosesitthrowinaderangeddonwithanobsessionforenglishacallcentersmartalecafemmefatalewhocandonabikiniandasareewiththesameaplombalevitatinggravitydefyinghitmanandacopwithahundredorwasitathousandblackcatcommandosontheirtrailgoodingredientsincompetenthandsbutthisiswhereiwouldliketoaskthedirectorsirwhatwereyousmokingimsurethismoviewouldberememberedintheannalsofbollywoodfilmmakingforwhatmustneverbedoneinsulttheintelligenceofthemostbraindeadofmoviegoerspossiblytheonlyredeemingfeatureinthisdesimatrixplusdesperadoplusgrindhousecaperisthemusicwatchthevideosheartheairplayandyouwontbedisappointedvishalshekharcomeupwithsomeeminentlyhummabletuneshowiwishthedirectorhadspentthemoneyincreatingsomemoreeyecandyasisignoffiwanttoreallybadlyknowhowdoesakshaysbulletwoundvanishinamicrosecondwhatwereyoueditorsdoingtashanmaybe',-1

